no,totalarea,sitearea,buildingarea,typicalfloorheight,totalheight,basement,groundlevel,parkinglot,type,type1,type2,type3,type4,type5,type6,type7,type8,type9,type10,type11,year,buildingcost,duration
137,3128.78,3044.4,773.99,3.9,18.9,1,4,56,3,0,0,1,0,0,0,0,0,0,0,0,2016,4820,306
138,2614.68,4125,687.65,3.9,17,1,4,56,3,0,0,1,0,0,0,0,0,0,0,0,2016,4619,300
139,1133.69,1829,365.56,3.6,13.05,1,3,19,3,0,0,1,0,0,0,0,0,0,0,0,2016,1305,250
140,7510.72,2975.2,1414.28,4.2,27.8,1,6,38,3,0,0,1,0,0,0,0,0,0,0,0,2016,7485,540
141,5980.36,10687.1,2098.61,4.2,18.65,1,4,100,3,0,0,1,0,0,0,0,0,0,0,0,2016,6982,540
142,810,1489,324,3.8,14.5,0,3,6,3,0,0,1,0,0,0,0,0,0,0,0,2016,1341,150
143,1587.19,3435.3,616.04,3.9,18.9,0,3,48,3,0,0,1,0,0,0,0,0,0,0,0,2016,3018,240
144,13578.75,6571.8,2872.51,4.2,37.18,1,8,180,11,0,0,0,0,0,0,0,0,0,0,1,2016,16512,720
145,19488.14,45882,4177.23,4.2,24.05,1,5,337,11,0,0,0,0,0,0,0,0,0,0,1,2016,25889,510
146,15985.29,12022.3,4053.95,3.7,20.55,1,5,76,9,0,0,0,0,0,0,0,0,1,0,0,2016,16967,340
147,7883,23538,2236.31,3.6,19.65,1,5,47,9,0,0,0,0,0,0,0,0,1,0,0,2016,8713,540
148,12714.96,13003,3308.08,3.6,20.55,1,5,63,9,0,0,0,0,0,0,0,0,1,0,0,2016,16600,390
149,15645.94,11803,5955.32,3.6,25,0,6,55,9,0,0,0,0,0,0,0,0,1,0,0,2016,20814,370
150,18170.29,15615.15,4780.171,3.6,20.55,1,5,91,9,0,0,0,0,0,0,0,0,1,0,0,2016,17180,420
151,16318.79,12555,4947.97,3.6,20.81,1,5,51,9,0,0,0,0,0,0,0,0,1,0,0,2016,20635,400
152,18282.78,16090,5017.33,3.6,22.75,1,5,91,9,0,0,0,0,0,0,0,0,1,0,0,2016,17150,420
153,15851.09,14041.1,3695.28,3.6,22.7,1,5,58,9,0,0,0,0,0,0,0,0,1,0,0,2016,15500,365
154,11275.83,13100.8,2844.12,3.6,20.25,1,5,22,9,0,0,0,0,0,0,0,0,1,0,0,2016,13527,700
155,17917.47,17337,4986.13,3.6,22.75,1,5,90,9,0,0,0,0,0,0,0,0,1,0,0,2016,18208,420
156,8551.85,86349.9,3135.1,3.6,19.9,1,5,47,9,0,0,0,0,0,0,0,0,1,0,0,2016,9513,600
157,16623.19,14943.8,4667.78,3.6,24.3,1,5,80,9,0,0,0,0,0,0,0,0,1,0,0,2016,18388,330
158,8910.47,15508.9,3828.61,3.7,16.55,1,3,42,9,0,0,0,0,0,0,0,0,1,0,0,2016,10837,330
159,12947.2,17795,3537.97,3.6,16.5,1,4,74,9,0,0,0,0,0,0,0,0,1,0,0,2016,12690,365
160,11778,6501.1,2259.9,3.6,24.6,1,4,53,9,0,0,0,0,0,0,0,0,1,0,0,2016,14210,420
161,18569.47,16456,4312.55,4.2,19.8,1,5,66,9,0,0,0,0,0,0,0,0,1,0,0,2016,18297,375
162,15317.22,12505.8,4145.12,3.6,19.95,1,5,66,9,0,0,0,0,0,0,0,0,1,0,0,2016,17815,360
163,12926.12,14006,4216.68,3.6,20.1,1,5,55,9,0,0,0,0,0,0,0,0,1,0,0,2016,13451,390
164,5265.5,28945.6,2238.2,3.9,20.05,1,3,51,9,0,0,0,0,0,0,0,0,1,0,0,2016,7610,480
165,13694.56,15001,3864.05,3.6,20.9,1,5,72,9,0,0,0,0,0,0,0,0,1,0,0,2016,13259,420
166,10502.98,10624,3205.25,3.6,16.45,1,4,53,9,0,0,0,0,0,0,0,0,1,0,0,2016,13295,450
167,12069.41,12325,3301.85,3.6,20.1,1,5,42,9,0,0,0,0,0,0,0,0,1,0,0,2016,14184,400
168,10308.66,63333,3824.37,3.7,20.6,1,4,21,9,0,0,0,0,0,0,0,0,1,0,0,2016,14586,450
169,10894,21707,4114.87,3.7,16.65,1,4,56,9,0,0,0,0,0,0,0,0,1,0,0,2016,11049,390
170,15383.24,49440,5998.68,3.6,19.2,1,4,83,9,0,0,0,0,0,0,0,0,1,0,0,2016,23453,810
